,수신,날짜,거래조건,출발지,도착지,CBM,중량,OCEAN FREIGHT,THC,WHARFAGE,DOCUMENT FEE,TRUCKING CHG,HANDLING CHG,INSURANCE FEE,AGENCY FEE,CLEARANCE,LOCAL CHG,CLEANING CHG,SEAL CHG,검역증명서,원산지증명서,DRAYAGE CHG,PACKING CHG,PSF,PFS,DG CHG,ETC,TOTAL
10,삼영,2024-03-20 00:00:00,EXW,중국,INCHEON,20 FT,20000.0,302602.0,130000.0,4200.0,50000.0,828866.0,22000.0,,,22000.0,389435.0,25000.0,,,,,,,172.0,,473638.0,2247913.0
11,삼영씨엠이,2024-03-08 00:00:00,FOB,중국,INCHEON,20 FT,20000.0,605204.0,130000.0,4200.0,50000.0,,22000.0,,,22000.0,,25000.0,,,,,,,172.0,,355228.0,1213804.0
12,스나이퍼샵,2023-07-25 00:00:00,FOB,중국,INCHEON,20 FT,,708366.0,130000.0,4200.0,40000.0,347600.0,33000.0,,,22000.0,,50000.0,,,,,,,86.0,,505976.0,1664137.0
13,주식회사 엘드,2024-04-03 00:00:00,FOB,중국,INCHEON,40 FT,,134950.0,180000.0,8400.0,40000.0,360360.0,33000.0,,,22000.0,,50000.0,,,,,,,172.0,,971640.0,1800522.0
14,예스지투엠,2023-01-19 00:00:00,CIF,BUSAN,호주,40 FT,5000.0,1001520.0,180000.0,8858.0,50000.0,,33000.0,18779.0,,22000.0,,,10000.0,,,,,474.0,172.0,,538317.0,1863120.0
15,오아이엠,2024-05-21 00:00:00,CIF,INCHEON,캄보디아,20 FT,,859383.0,130000.0,4200.0,50000.0,422400.0,22000.0,20462.0,,,,,8000.0,,,,,,172.0,,0.0,1516617.0
16,오아이엠,2024-05-21 00:00:00,CIF,INCHEON,캄보디아,40 FT,,1677843.0,180000.0,8400.0,50000.0,475200.0,22000.0,20462.0,,,,,8000.0,,-,,,,344.0,,0.0,2442249.0
17,위드글로벌,2022-09-26 00:00:00,CFR,INCHEON,인도,40 FT,,4533750.0,180000.0,8400.0,50000.0,357720.0,13950.0,,,22000.0,,,,,,,4694946.0,,172.0,,0.0,9820939.0
18,㈜제이아이피,2023-11-14 00:00:00,FOB,중국,INCHEON,40 FT,4000.0,196488.0,180000.0,8858.0,40000.0,274496.0,33000.0,,,,,40000.0,,,,,,,172.0,,497770.0,1270784.0
19,주식회사큐앤비푸드,2024-03-07 00:00:00,CIF,BUSAN,싱가폴,40 FT,,466025.0,345000.0,,50000.0,1243000.0,22000.0,19973.0,,22000.0,,,8000.0,,,,,474.0,172.0,,346190.0,2531692.0
20,칠락와인,2024-05-31 00:00:00,EXW,독일,BUSAN,2.9,,111447.0,40600.0,36178.0,120378.0,988893.0,96340.0,,,43113.0,,5800.0,,,,,,,,,2815.0,1466678.0
21,칠락와인,2024-05-31 00:00:00,EXW,슬로베니아,BUSAN,20 FT,,2305800.0,474852.0,4429.0,120378.0,3564364.0,33000.0,,,85340.0,,35000.0,,,,,,237.0,86.0,,19706.0,6882477.0
22,㈜커넥토,2023-09-18 00:00:00,FOB,중국,INCHEON,20 FT,,837371.0,230000.0,4200.0,50000.0,39875.0,33000.0,,,29242.0,,35000.0,,,,,,,86.0,,385456.0,1644230.0
23,케이브릿지,2024-04-24 00:00:00,FOB,도미니카 공화국,BUSAN,20 FT,1506450.0,,135000.0,4200.0,50000.0,1006500.0,33000.0,,,22000.0,,35000.0,,110000.0,,,,,,,246510.0,3148660.0
24,케이엔씨코마일,2023-10-31 00:00:00,CIF,BUSAN,칠레,20 FT,8000.0,3417440.0,140000.0,4429.0,50000.0,297000.0,33000.0,19716.0,,26400.0,,,10000.0,,110000,,,,86.0,,19716.0,4127787.0
25,코아스,2023-08-05 00:00:00,EXW,INCHEON,중국,20 FT,,234702.0,169507.0,5580.0,65195.0,404209.0,65195.0,,,,,,13039.0,,,,,1303.0,1303.0,,0.0,998787.0
26,㈜데리베리인터내셔널,2023-08-21 00:00:00,DDP,INCHEON,베트남,40 FT,,69732.0,434790.0,8400.0,50000.0,1242825.0,33000.0,,134100.0,169510.0,,80460.0,10000.0,,,,,474.0,172.0,,321840.0,2729633.0
27,주식회사 투유,2024-01-15 00:00:00,FOB,중국,INCHEON,40 FT,,360315.0,180000.0,8400.0,40000.0,335500.0,33000.0,20018.0,,22000.0,,50000.0,,,,,,,172.0,,0.0,1049405.0
28,투헤븐리조트,2024-01-15 00:00:00,EXW,중국,INCHEON,102.3,,2788002.0,657413.0,53161.0,158707.0,1400395.0,33000.0,,76734.0,108707.0,,50000.0,,,,,,479.0,172.0,,0.0,5333164.0
29,트레이잇,2024-04-17 00:00:00,CFR,BUSAN,이집트,20 FT,12000.0,5423520.0,135000.0,4200.0,50000.0,203500.0,22000.0,,,330000.0,,,10000.0,,,,,,172.0,,0.0,6198730.0
30,푸드클러스터,2024-04-17 00:00:00,CFR,BUSAN,미국,40 FT,,5640461.0,180000.0,8400.0,50000.0,,22000.0,,,,,,10000.0,,,,,,172.0,,0.0,5933033.0
